iter	Passed	Remaining
0	4	4527
1	8	4069
2	11	3855
3	14	3632
4	17	3508
5	20	3463
6	23	3361
7	26	3337
8	29	3295
9	32	3266
10	36	3247
11	39	3233
12	42	3239
13	45	3193
14	48	3162
15	51	3150
16	54	3177
17	57	3151
18	60	3118
19	63	3100
20	66	3086
21	70	3114
22	73	3107
23	76	3117
24	79	3098
25	82	3081
26	85	3067
27	88	3058
28	91	3048
29	93	3033
30	96	3021
31	99	3019
32	102	3017
33	105	3000
34	108	2998
35	112	3000
36	114	2985
37	117	2968
38	119	2956
39	122	2945
40	125	2944
41	128	2938
42	131	2924
43	133	2910
44	136	2897
45	138	2880
46	141	2873
47	144	2864
48	147	2853
49	149	2839
50	152	2828
51	154	2821
52	157	2816
53	160	2814
54	164	2821
55	168	2839
56	171	2836
57	173	2825
58	176	2815
59	179	2807
60	181	2793
61	183	2781
62	186	2772
63	188	2761
64	191	2755
65	194	2746
66	196	2741
67	199	2740
68	202	2735
69	205	2726
70	207	2714
71	209	2704
72	212	2694
73	214	2685
74	217	2677
75	219	2667
76	221	2659
77	224	2653
78	226	2643
79	229	2637
80	231	2628
81	234	2620
82	236	2611
83	238	2602
84	241	2596
85	243	2590
86	246	2583
87	248	2578
88	251	2571
89	253	2563
90	255	2556
91	258	2551
92	261	2545
93	263	2539
94	265	2530
95	268	2524
96	270	2516
97	273	2515
98	276	2512
99	278	2506
100	281	2501
101	283	2493
102	286	2491
103	288	2486
104	290	2478
105	293	2476
106	295	2470
107	298	2468
108	301	2467
109	304	2461
110	306	2457
111	309	2450
112	311	2444
113	313	2437
114	316	2432
115	318	2426
116	320	2419
117	322	2413
118	325	2407
119	327	2401
120	329	2395
121	332	2390
122	334	2387
123	337	2385
124	340	2384
125	343	2379
126	345	2377
127	348	2371
128	350	2366
129	352	2360
130	354	2354
131	357	2348
132	359	2344
133	362	2340
134	364	2334
135	366	2328
136	368	2323
137	371	2318
138	373	2312
139	375	2309
140	378	2304
141	380	2300
142	383	2296
143	385	2291
144	388	2288
145	390	2283
146	392	2279
147	395	2274
148	397	2269
149	399	2265
150	401	2260
151	404	2256
152	406	2251
153	408	2246
154	411	2241
155	413	2237
156	415	2233
157	418	2229
158	420	2225
159	422	2220
160	425	2215
161	427	2211
162	429	2206
163	433	2209
164	435	2205
165	437	2200
166	440	2196
167	442	2193
168	445	2189
169	448	2187
170	450	2184
171	452	2180
172	455	2176
173	457	2172
174	459	2167
175	462	2165
176	465	2162
177	467	2158
178	469	2155
179	472	2150
180	473	2141
181	475	2138
182	478	2136
183	481	2133
184	483	2128
185	485	2125
186	488	2123
187	491	2124
188	494	2121
189	497	2121
190	499	2117
191	502	2116
192	506	2116
193	509	2114
194	511	2111
195	513	2108
196	516	2104
197	519	2102
198	521	2099
199	524	2096
200	526	2092
201	529	2091
202	531	2087
203	534	2084
204	536	2081
205	538	2077
206	541	2074
207	543	2070
208	546	2067
209	548	2064
210	551	2061
211	553	2057
212	555	2053
213	558	2050
214	560	2047
215	563	2044
216	565	2040
217	568	2038
218	570	2034
219	572	2030
220	575	2027
221	577	2024
222	580	2022
223	583	2021
224	586	2019
225	589	2018
226	592	2016
227	594	2013
228	596	2009
229	599	2005
230	601	2003
231	604	2001
232	607	1999
233	609	1995
234	611	1992
235	614	1989
236	617	1986
237	619	1983
238	622	1982
239	624	1978
240	627	1975
241	629	1973
242	632	1971
243	635	1969
244	638	1966
245	640	1963
246	643	1961
247	645	1958
248	648	1956
249	651	1953
250	653	1950
251	656	1948
252	659	1946
253	662	1944
254	665	1944
255	668	1942
256	671	1940
257	673	1938
258	676	1936
259	679	1933
260	682	1931
261	685	1929
262	687	1927
263	691	1927
264	694	1925
265	697	1925
